timestamp,merchant_name,category,amount,currency
2024-05-05 18:41:35+00:00,el Fornet,,-2.45,EUR
2024-05-05 22:51:20+00:00,Antonias Burger,,-21.75,EUR
2024-05-06 12:11:44+00:00,el Fornet,,-2.65,EUR
2024-05-06 12:36:54+00:00,Mercadona,,-6.48,EUR
2024-05-06 19:41:24+00:00,Mercadona,,-8.38,EUR
2024-05-07 12:45:39+00:00,DIAGONAL,,-9.45,EUR
2024-05-07 13:53:21+00:00,Massimo Dutti,,-40.05,EUR
2024-05-07 18:08:05+00:00,Mercadona,,-10.14,EUR
2024-05-07 22:00:56+00:00,Vueling,,-189.98,EUR
2024-05-08 01:59:45+00:00,TMB,,-42.7,EUR
2024-05-08 11:55:55+00:00,Del Molino Roa,,-5.6,EUR
2024-05-08 12:15:04+00:00,Del Molino Roa,,-1.2,EUR
2024-05-08 12:29:05+00:00,Del Molino Roa,,-2.5,EUR
2024-05-08 14:51:06+00:00,Heymei,,-5.45,EUR
2024-05-08 17:50:38+00:00,Alliance Vending,,-1.4,EUR
2024-05-08 20:08:05+00:00,T Mobilitat App,,-42.7,EUR
2024-05-08 21:31:22+00:00,Ferrocarrils de la Generalitat Catalunya,,-42.7,EUR
2024-05-09 09:50:52+00:00,YEGO,,-2.64,EUR
2024-05-09 11:56:59+00:00,Del Molino Roa Sl,,-5.6,EUR
2024-05-09 13:19:29+00:00,Del Molino Roa Sl,,-1.2,EUR
2024-05-09 14:08:08+00:00,MacxiPA,,-1.8,EUR
2024-05-09 16:09:52+00:00,L'Empanaderia de Gràcia,,-5.4,EUR
2024-05-09 17:28:13+00:00,Associacio Del,,-9.5,EUR
2024-05-09 21:13:15+00:00,Five Guys,,-14.65,EUR
2024-05-10 04:31:07+00:00,Cabify,,-27.09,EUR
2024-05-10 05:13:24+00:00,Pans & Company,,-1.95,EUR
2024-05-10 18:05:13+00:00,Mercadona,,-11.07,EUR
2024-05-10 20:32:09+00:00,Festafib Comit,,-3.0,EUR
2024-05-10 21:04:43+00:00,Festafib Comit,,-2.0,EUR
2024-05-12 16:57:07+00:00,Carrefour,,-1.85,EUR
2024-05-13 13:33:15+00:00,Orange,,-15.0,EUR
2024-05-13 16:33:50+00:00,Carrefour,,-2.25,EUR
2024-05-13 19:39:09+00:00,Pnvt Prs Brothers,,-6.9,EUR
2024-05-13 20:23:14+00:00,Bvba Posse,,-5.4,EUR
2024-05-13 23:28:36+00:00,Amazon,,-8.99,EUR
2024-05-14 01:03:45+00:00,In Den Boule,,-5.4,EUR
2024-05-14 12:46:20+00:00,'t Smullerke,,-6.5,EUR
2024-05-14 13:26:57+00:00,Pizza Virona,,-3.5,EUR
2024-05-14 14:01:17+00:00,Pnvt Prs Brothers,,-2.5,EUR
2024-05-15 13:32:05+00:00,Mercadona,,-18.86,EUR
2024-05-16 07:42:06+00:00,Bicing,,-0.35,EUR
2024-05-16 18:01:03+00:00,Mercadona,,-8.76,EUR
2024-05-16 21:01:00+00:00,Antonias Burger,,-27.5,EUR
2024-05-16 22:13:00+00:00,Airbnb,,-53.4,EUR
2024-05-17 15:17:36+00:00,Tabacos,,-4.35,EUR
2024-05-17 15:35:26+00:00,Sm Barca,,-5.0,EUR
2024-05-17 15:47:05+00:00,Patricia Arreglos,,-5.0,EUR
2024-05-17 16:33:16+00:00,Ali Restaurant,,-9.0,EUR
2024-05-17 19:17:01+00:00,Panino Silvestre,,-1.8,EUR
2024-05-17 19:25:46+00:00,Evento Enso Coliving,,-15.0,EUR
2024-05-17 20:12:24+00:00,Mercadona,,-15.55,EUR
2024-05-18 13:04:41+00:00,el Fornet,,-4.2,EUR
2024-05-18 16:45:58+00:00,Gelateria Firenze Palamos,,-8.0,EUR
2024-05-18 20:49:15+00:00,Bar Yeti,,-5.7,EUR
2024-05-19 01:07:52+00:00,45/33 Bar,,-6.0,EUR
2024-05-19 04:16:20+00:00,YEGO,,-2.64,EUR
2024-05-19 21:19:01+00:00,Condis,,-2.8,EUR
2024-05-20 12:18:31+00:00,Kachafruit Barna S.L.,,-5.11,EUR
2024-05-20 12:20:47+00:00,Correos,,-4.62,EUR
2024-05-20 12:26:33+00:00,Mi Alcampo,,-5.68,EUR
2024-05-20 15:23:10+00:00,Carrefour,,-4.09,EUR
2024-05-20 20:10:04+00:00,Tabacs,,-4.35,EUR
2024-05-20 21:18:54+00:00,Bar Robardors 49,,-7.5,EUR
2024-05-20 22:03:53+00:00,Ali Restaurant,,-16.0,EUR
2024-05-20 23:17:05+00:00,The Old Irish Pub,,-31.8,EUR
2024-05-21 00:15:05+00:00,Mr Robinson,,-3.5,EUR
2024-05-21 01:02:47+00:00,Mr Robinson,,-7.0,EUR
2024-05-21 01:38:37+00:00,Mr Robinson,,-12.0,EUR
2024-05-21 11:19:58+00:00,Del Molino Roa,,-5.6,EUR
2024-05-21 13:26:31+00:00,MacxiPA,,-1.8,EUR
2024-05-21 16:45:04+00:00,Mercadona,,-7.05,EUR
2024-05-21 18:44:22+00:00,Mercadona,,-25.0,EUR
2024-05-22 00:41:47+00:00,AliExpress,,-17.32,EUR
2024-05-22 11:52:41+00:00,Del Molino Roa Sl,,-6.7,EUR
2024-05-22 15:02:26+00:00,Alliance Vending,,-1.35,EUR
2024-05-22 21:55:08+00:00,Un Bocado,,-22.3,EUR
2024-05-22 22:35:27+00:00,SUPERMARKET,,-3.0,EUR
2024-05-23 10:57:04+00:00,Del Molino Roa,,-3.0,EUR
2024-05-23 12:46:30+00:00,Vueling,,-76.99,EUR
2024-05-23 15:20:04+00:00,Chandigarh Cafe,,-6.0,EUR
2024-05-23 18:24:10+00:00,Levaduramadre,,-2.75,EUR
2024-05-23 19:21:39+00:00,Mercadona,,-8.3,EUR
2024-05-23 23:06:22+00:00,Sabor Tropical,,-18.0,EUR
2024-05-24 12:59:38+00:00,Barcelona Suc 23,,-3.8,EUR
2024-05-24 13:16:22+00:00,MacxiPA,,-2.0,EUR
2024-05-24 17:59:17+00:00,Mercadona,,-7.85,EUR
2024-05-24 18:00:43+00:00,Levaduramadre,,-1.8,EUR
2024-05-25 13:21:05+00:00,Mercadona,,-9.37,EUR
2024-05-25 15:27:31+00:00,Domino's pizza,,-4.99,EUR
2024-05-25 15:35:55+00:00,Joan Miró Foundation,,-9.0,EUR
2024-05-25 20:30:40+00:00,Tabacs,,-4.35,EUR
2024-05-25 21:00:55+00:00,Ali Restaurant,,-7.0,EUR
2024-05-25 23:52:30+00:00,McDonald's,,-4.51,EUR
2024-05-27 10:22:51+00:00,Cines Verdi Barcelona,,-24.5,EUR
2024-05-27 13:38:09+00:00,Del Molino Roa Sl,,-5.6,EUR
2024-05-27 16:19:03+00:00,Jotas Bread,,-1.4,EUR
2024-05-27 17:28:11+00:00,Flashh Barcelona,,-11.0,EUR
2024-05-27 18:01:18+00:00,Flashh Barcelona,,-1.5,EUR
2024-05-27 21:03:49+00:00,Mercadona,,-3.3,EUR
2024-05-27 22:25:32+00:00,Cines Verdi Barcelona,,-1.5,EUR
2024-05-28 10:09:06+00:00,Del Molino Roa Sl,,-1.2,EUR
2024-05-28 12:38:43+00:00,Mercadona,,-12.5,EUR
2024-05-28 16:54:55+00:00,Mercadona,,-4.75,EUR
2024-05-29 11:28:22+00:00,Alliance Vending,,-0.85,EUR
2024-05-29 13:32:48+00:00,Del Molino Roa,,-1.15,EUR
2024-05-29 18:28:42+00:00,Alliance Vending,,-1.55,EUR
2024-05-29 20:31:45+00:00,Mercadona,,-5.39,EUR
2024-05-29 21:51:22+00:00,Amovens,,-129.22,EUR
2024-05-30 10:13:02+00:00,Tabacos,,-5.05,EUR
2024-05-30 10:58:14+00:00,Don Fresc,,-2.7,EUR
2024-05-30 12:16:23+00:00,Raco De La Mora,,-5.2,EUR
2024-05-30 14:34:24+00:00,MacxiPA,,-2.33,EUR
2024-05-30 19:27:35+00:00,AUCAT,,-4.81,EUR
2024-05-30 19:42:30+00:00,Zona Blava,,-0.6,EUR
2024-05-30 21:32:00+00:00,La Punta La Guineu,,-32.6,EUR
2024-05-30 21:58:34+00:00,AUCAT,,-8.05,EUR
2024-05-30 23:27:38+00:00,YEGO,,-4.29,EUR
2024-05-30 23:34:10+00:00,Associacio Alianca Verda,,-20.0,EUR
2024-05-30 23:36:35+00:00,Associacio Alianca Verda,,-13.0,EUR
